accident_id,city,state,latitude,longitude,cluster,risk_score,hour,casualties,accident_severity,weather,visibility,road_type,traffic_density
32,Kolkata,West Bengal,22.644485,88.376914,2,0.45,7,4,minor,fog,low,urban,low
33,Bangalore,Karnataka,13.007483,77.745779,0,0.25,3,4,minor,rain,medium,highway,medium
34,Delhi,Delhi,28.767686,77.102505,2,0.6,17,2,minor,fog,low,rural,medium
35,Chandigarh,Punjab,30.79305,76.864728,1,0.1,4,1,minor,clear,high,highway,low
36,Delhi,Delhi,28.513789,77.26605,2,0.65,14,0,minor,fog,low,rural,high
37,Chennai,Tamil Nadu,12.941766,80.271836,1,0.45,18,4,fatal,clear,high,highway,low
38,Pune,Maharashtra,18.497326,73.919761,0,0.25,6,1,minor,rain,medium,rural,low
39,Kolkata,West Bengal,22.568337,88.326718,0,0.45,1,3,minor,rain,medium,rural,high
40,Mumbai,Maharashtra,18.945509,72.865677,0,0.45,22,2,minor,rain,medium,highway,high
41,Chandigarh,Punjab,30.739178,76.722246,0,0.8,9,3,fatal,rain,medium,urban,high
42,Hyderabad,Telangana,17.36441,78.442288,0,0.25,22,0,major,rain,medium,urban,medium
43,Chennai,Tamil Nadu,13.174093,80.150346,1,0.1,13,1,minor,clear,high,highway,low
44,Chandigarh,Punjab,30.75772,76.718682,0,0.25,0,2,major,rain,medium,rural,low
45,Bangalore,Karnataka,13.032625,77.614829,0,0.6,9,1,minor,rain,medium,urban,high
46,Chandigarh,Punjab,30.774779,76.862232,3,0.45,11,4,major,rain,low,urban,low
47,Delhi,Delhi,28.683622,77.273941,0,0.25,15,3,major,rain,medium,rural,medium
48,Hyderabad,Telangana,17.384544,78.420669,3,0.65,14,0,major,rain,low,highway,high
49,Hyderabad,Telangana,17.217784,78.280672,2,0.45,13,2,major,fog,low,rural,medium
50,Pune,Maharashtra,18.482992,73.944129,1,0.45,9,1,major,clear,high,highway,high
51,Hyderabad,Telangana,17.224481,78.470636,2,0.45,7,2,major,fog,low,rural,medium
52,Bangalore,Karnataka,12.863932,77.797043,2,0.45,2,0,major,fog,low,urban,low
53,Mumbai,Maharashtra,19.090552,72.9844,3,0.45,21,0,minor,rain,low,rural,medium
54,Chandigarh,Punjab,30.790067,76.805399,3,0.45,3,1,major,rain,low,highway,low
55,Delhi,Delhi,28.502883,77.165457,2,0.45,6,3,minor,fog,low,urban,medium
56,Chandigarh,Punjab,30.774233,76.72531,1,0.1,0,1,major,clear,high,urban,low
57,Mumbai,Maharashtra,19.232608,72.869852,2,0.45,6,1,major,fog,low,urban,medium
58,Chennai,Tamil Nadu,12.959773,80.153419,1,0.1,2,0,minor,clear,high,urban,low
59,Chennai,Tamil Nadu,12.985135,80.226248,3,0.85,23,4,fatal,rain,low,rural,high
60,Mumbai,Maharashtra,19.061169,72.872827,1,0.1,14,0,minor,clear,high,urban,low
61,Delhi,Delhi,28.463133,76.976698,0,0.4,9,0,major,rain,medium,rural,medium
62,Chennai,Tamil Nadu,12.852053,80.121615,0,0.45,14,1,major,rain,medium,urban,high
63,Chennai,Tamil Nadu,13.017299,80.224813,2,0.45,0,1,major,fog,low,rural,low
64,Pune,Maharashtra,18.560997,73.811173,2,0.45,23,2,major,fog,low,rural,medium
65,Chennai,Tamil Nadu,12.97141,80.197487,0,0.45,7,0,major,rain,medium,rural,high
66,Mumbai,Maharashtra,19.264702,72.886613,1,0.45,10,2,major,clear,high,highway,high
67,Mumbai,Maharashtra,18.811624,72.877651,2,0.65,5,5,minor,fog,low,rural,high
68,Chandigarh,Punjab,30.674067,76.774623,1,0.3,21,1,major,clear,high,rural,high
69,Mumbai,Maharashtra,19.208566,72.896859,2,0.45,6,1,major,fog,low,highway,low
70,Hyderabad,Telangana,17.530898,78.305176,2,0.6,19,3,minor,fog,low,highway,low
71,Pune,Maharashtra,18.442448,73.878574,2,0.65,14,2,major,fog,low,urban,high
72,Delhi,Delhi,28.47365,77.060874,1,0.5,11,5,fatal,clear,high,highway,high
73,Bangalore,Karnataka,12.984625,77.767823,3,0.65,6,1,fatal,rain,low,rural,low
74,Bangalore,Karnataka,12.954595,77.488507,2,0.45,13,0,major,fog,low,highway,medium
75,Chandigarh,Punjab,30.78901,76.887359,1,0.45,19,0,minor,clear,high,urban,high
76,Pune,Maharashtra,18.528017,73.850369,3,0.45,6,1,minor,rain,low,urban,low
77,Pune,Maharashtra,18.549441,73.804096,2,0.65,5,0,minor,fog,low,urban,high
78,Chennai,Tamil Nadu,12.919435,80.207627,2,0.85,15,5,fatal,fog,low,urban,high
79,Delhi,Delhi,28.813866,77.149528,2,0.65,21,1,minor,fog,low,urban,high
80,Chandigarh,Punjab,30.658767,76.836989,0,0.25,14,1,major,rain,medium,highway,medium
81,Pune,Maharashtra,18.499609,73.81264,0,0.25,6,0,minor,rain,medium,highway,medium
82,Kolkata,West Bengal,22.641847,88.381884,2,0.45,22,0,minor,fog,low,rural,low
83,Hyderabad,Telangana,17.386509,78.48781,0,0.25,0,0,major,rain,medium,rural,low
84,Hyderabad,Telangana,17.335804,78.271751,2,0.45,3,2,major,fog,low,urban,low
85,Chandigarh,Punjab,30.645926,76.791403,2,0.6,17,2,major,fog,low,highway,medium
86,Chennai,Tamil Nadu,12.93952,80.153093,3,0.45,14,1,minor,rain,low,rural,medium
87,Hyderabad,Telangana,17.512138,78.471549,3,0.45,6,5,minor,rain,low,highway,low
88,Mumbai,Maharashtra,18.803193,72.982741,2,0.45,4,4,minor,fog,low,highway,low
89,Delhi,Delhi,28.838921,76.991482,1,0.3,22,1,minor,clear,high,highway,high
90,Hyderabad,Telangana,17.470165,78.472552,0,0.25,2,1,major,rain,medium,urban,medium
91,Pune,Maharashtra,18.537548,73.723176,0,0.45,23,3,major,rain,medium,rural,high
92,Bangalore,Karnataka,12.941515,77.674347,2,0.65,5,1,minor,fog,low,rural,high
93,Pune,Maharashtra,18.467712,73.954984,2,0.8,9,5,minor,fog,low,rural,high
94,Hyderabad,Telangana,17.44697,78.449607,2,0.8,18,1,minor,fog,low,urban,high
95,Mumbai,Maharashtra,19.250366,72.762997,2,0.45,22,4,major,fog,low,urban,medium
96,Kolkata,West Bengal,22.48522,88.321126,1,0.1,2,3,minor,clear,high,rural,low
97,Chandigarh,Punjab,30.662289,76.860184,1,0.1,7,0,major,clear,high,rural,medium
98,Pune,Maharashtra,18.687205,73.858717,1,0.25,17,4,major,clear,high,highway,medium
99,Chandigarh,Punjab,30.729891,76.786151,2,0.45,6,2,minor,fog,low,highway,low
100,Chennai,Tamil Nadu,12.810721,80.19735,2,0.8,18,2,minor,fog,low,urban,high
101,Kolkata,West Bengal,22.537913,88.323836,3,0.65,23,1,minor,rain,low,highway,high
102,Bangalore,Karnataka,13.045999,77.520041,0,0.45,12,1,fatal,rain,medium,urban,low
103,Bangalore,Karnataka,12.848361,77.433807,1,0.1,7,0,major,clear,high,rural,medium
104,Bangalore,Karnataka,13.057964,77.590444,1,0.1,20,0,minor,clear,high,highway,medium
105,Mumbai,Maharashtra,18.990602,72.799954,3,0.45,20,0,major,rain,low,highway,low
106,Hyderabad,Telangana,17.426893,78.488724,2,0.45,13,1,minor,fog,low,highway,low
107,Mumbai,Maharashtra,18.838523,72.976824,0,0.25,22,1,minor,rain,medium,rural,low
108,Chennai,Tamil Nadu,13.10543,80.11737,1,0.1,4,1,minor,clear,high,rural,medium
109,Delhi,Delhi,28.519189,76.859451,3,0.65,2,0,minor,rain,low,rural,high
110,Bangalore,Karnataka,12.94701,77.785423,1,0.1,16,5,minor,clear,high,rural,low
111,Hyderabad,Telangana,17.49119,78.27063,3,0.8,8,0,minor,rain,low,urban,high
112,Chennai,Tamil Nadu,12.812744,80.226751,2,0.45,20,2,major,fog,low,highway,low
113,Chennai,Tamil Nadu,13.126298,80.273119,1,0.25,9,1,major,clear,high,highway,medium
114,Kolkata,West Bengal,22.686595,88.399393,2,0.65,15,1,fatal,fog,low,rural,medium
115,Hyderabad,Telangana,17.416162,78.471995,3,0.65,11,1,minor,rain,low,rural,high
116,Chennai,Tamil Nadu,12.829772,80.266893,3,0.65,5,1,minor,rain,low,rural,high
117,Chandigarh,Punjab,30.703228,76.745141,3,0.65,22,4,minor,rain,low,highway,high
118,Pune,Maharashtra,18.671835,73.77906,3,0.45,13,1,minor,rain,low,urban,low
119,Chandigarh,Punjab,30.780406,76.759015,0,0.6,19,0,major,rain,medium,rural,high
120,Bangalore,Karnataka,12.863873,77.573049,1,0.3,14,0,major,clear,high,rural,high
121,Chandigarh,Punjab,30.612508,76.8941,0,0.25,11,2,minor,rain,medium,highway,medium
122,Pune,Maharashtra,18.613759,73.739609,1,0.45,17,1,major,clear,high,highway,high
123,Kolkata,West Bengal,22.615566,88.245733,1,0.1,13,1,major,clear,high,urban,low
124,Chennai,Tamil Nadu,12.917829,80.107956,0,0.45,0,0,major,rain,medium,highway,high
125,Chandigarh,Punjab,30.669447,76.798384,2,0.45,13,3,minor,fog,low,urban,medium
126,Chennai,Tamil Nadu,13.023148,80.267046,1,0.1,22,3,major,clear,high,rural,low
127,Hyderabad,Telangana,17.469395,78.426902,3,0.45,23,1,major,rain,low,urban,medium
128,Pune,Maharashtra,18.445959,73.866259,1,0.1,13,2,major,clear,high,rural,medium
129,Bangalore,Karnataka,12.810804,77.644324,2,0.45,15,1,minor,fog,low,highway,low
130,Kolkata,West Bengal,22.605036,88.211938,0,0.25,20,1,major,rain,medium,urban,medium
131,Chandigarh,Punjab,30.749547,76.70627,2,0.65,5,2,minor,fog,low,urban,high
132,Delhi,Delhi,28.8028,76.835013,0,0.45,15,2,fatal,rain,medium,highway,low
133,Pune,Maharashtra,18.571932,73.724503,1,0.1,3,0,major,clear,high,highway,low
134,Bangalore,Karnataka,12.913562,77.619006,0,0.4,19,3,major,rain,medium,highway,medium
135,Chandigarh,Punjab,30.771578,76.798125,0,0.65,20,5,fatal,rain,medium,highway,high
136,Chennai,Tamil Nadu,12.910539,80.183088,1,0.3,12,2,minor,clear,high,highway,high
137,Hyderabad,Telangana,17.57514,78.484234,3,0.45,0,0,major,rain,low,highway,low
138,Pune,Maharashtra,18.697073,73.828047,1,0.3,4,2,minor,clear,high,highway,high
139,Mumbai,Maharashtra,19.257558,72.75368,2,0.8,10,0,major,fog,low,highway,high
140,Chennai,Tamil Nadu,13.099257,80.226182,3,0.8,8,0,major,rain,low,urban,high
141,Chandigarh,Punjab,30.612831,76.810119,0,0.25,22,4,minor,rain,medium,highway,medium
142,Bangalore,Karnataka,12.851488,77.589232,2,0.65,21,0,minor,fog,low,urban,high
143,Kolkata,West Bengal,22.408139,88.322983,0,0.45,21,0,minor,rain,medium,rural,high
144,Kolkata,West Bengal,22.470344,88.318475,1,0.1,6,3,minor,clear,high,urban,medium
145,Kolkata,West Bengal,22.672696,88.400666,1,0.1,15,1,major,clear,high,highway,low
146,Chennai,Tamil Nadu,13.145041,80.133716,2,0.65,7,0,major,fog,low,highway,high
147,Kolkata,West Bengal,22.524367,88.453597,0,0.25,1,0,minor,rain,medium,urban,low
148,Bangalore,Karnataka,13.055067,77.418018,3,0.45,11,2,minor,rain,low,rural,low
149,Delhi,Delhi,28.654528,76.925723,3,0.45,2,2,major,rain,low,urban,low
150,Bangalore,Karnataka,13.174917,77.602348,3,0.45,21,4,major,rain,low,rural,medium
151,Pune,Maharashtra,18.479329,73.88208,1,0.3,22,5,fatal,clear,high,rural,low
152,Chandigarh,Punjab,30.65561,76.831544,0,0.45,3,1,fatal,rain,medium,highway,low
153,Bangalore,Karnataka,13.052805,77.617588,0,0.25,14,0,minor,rain,medium,urban,medium
154,Delhi,Delhi,28.834402,77.209459,2,0.65,12,3,fatal,fog,low,rural,medium
155,Mumbai,Maharashtra,19.090344,72.902108,1,0.65,10,2,fatal,clear,high,urban,high
156,Chennai,Tamil Nadu,13.196352,80.138535,2,0.45,7,1,minor,fog,low,urban,medium
157,Chennai,Tamil Nadu,13.152998,80.258685,2,0.65,22,2,major,fog,low,rural,high
158,Delhi,Delhi,28.671166,77.064188,1,0.3,3,3,minor,clear,high,rural,high
159,Kolkata,West Bengal,22.535434,88.290362,1,0.25,8,1,major,clear,high,highway,low
160,Pune,Maharashtra,18.522797,73.933778,2,0.85,20,1,fatal,fog,low,urban,high
161,Bangalore,Karnataka,12.828296,77.719866,2,0.45,1,0,major,fog,low,rural,low
162,Pune,Maharashtra,18.435528,73.934128,3,0.45,11,1,major,rain,low,rural,low
163,Chennai,Tamil Nadu,12.921984,80.115306,1,0.25,18,5,major,clear,high,rural,medium
164,Chennai,Tamil Nadu,12.841819,80.258805,3,0.45,0,0,minor,rain,low,rural,low
165,Delhi,Delhi,28.492703,76.815886,2,0.65,7,3,major,fog,low,highway,high
166,Chandigarh,Punjab,30.677187,76.727473,3,0.65,4,5,fatal,rain,low,rural,medium
167,Bangalore,Karnataka,13.068595,77.762442,1,0.45,17,5,fatal,clear,high,urban,medium
168,Chennai,Tamil Nadu,12.891896,80.227598,1,0.45,18,1,minor,clear,high,urban,high
169,Chandigarh,Punjab,30.788551,76.774195,3,0.45,7,3,minor,rain,low,highway,low
170,Chennai,Tamil Nadu,13.057219,80.184551,3,0.65,6,4,fatal,rain,low,highway,medium
171,Delhi,Delhi,28.555907,77.177935,2,0.45,21,0,minor,fog,low,highway,low
172,Bangalore,Karnataka,12.94144,77.549761,3,0.8,10,1,minor,rain,low,rural,high
173,Bangalore,Karnataka,12.90836,77.563109,3,0.65,21,1,minor,rain,low,highway,high
174,Bangalore,Karnataka,13.008178,77.683777,3,0.45,4,0,major,rain,low,highway,low
175,Hyderabad,Telangana,17.253718,78.264759,2,0.65,21,1,minor,fog,low,highway,high
176,Kolkata,West Bengal,22.643283,88.434764,2,0.45,14,1,minor,fog,low,urban,low
177,Chandigarh,Punjab,30.78977,76.791081,1,0.1,4,0,minor,clear,high,highway,low
178,Bangalore,Karnataka,13.094302,77.576124,1,0.1,1,0,minor,clear,high,rural,low
179,Kolkata,West Bengal,22.453114,88.383374,1,0.3,21,4,fatal,clear,high,urban,medium
180,Hyderabad,Telangana,17.492197,78.20001,0,0.6,19,0,minor,rain,medium,urban,high
181,Chandigarh,Punjab,30.786188,76.807627,3,0.45,22,2,minor,rain,low,highway,low
182,Hyderabad,Telangana,17.563446,78.232019,3,0.65,13,0,minor,rain,low,urban,high
183,Bangalore,Karnataka,12.971567,77.689448,2,0.45,20,0,minor,fog,low,urban,medium
184,Chandigarh,Punjab,30.784319,76.811367,1,0.45,8,5,major,clear,high,highway,high
185,Hyderabad,Telangana,17.262441,78.332996,1,0.25,19,0,major,clear,high,urban,low
186,Pune,Maharashtra,18.62914,73.851101,3,0.8,10,1,minor,rain,low,rural,high
187,Pune,Maharashtra,18.616196,73.705131,2,0.8,8,1,major,fog,low,urban,high
188,Hyderabad,Telangana,17.432325,78.449923,1,0.1,0,4,major,clear,high,urban,low
189,Mumbai,Maharashtra,18.849144,72.726339,2,0.6,8,0,major,fog,low,highway,low
190,Kolkata,West Bengal,22.563456,88.315626,3,1.0,19,1,fatal,rain,low,urban,high
191,Pune,Maharashtra,18.441514,73.89283,3,0.8,19,1,minor,rain,low,urban,high
192,Pune,Maharashtra,18.627045,73.919901,0,0.45,15,3,major,rain,medium,urban,high
193,Hyderabad,Telangana,17.453887,78.418717,1,0.1,7,3,minor,clear,high,rural,medium
194,Hyderabad,Telangana,17.310034,78.367309,3,0.8,18,2,major,rain,low,urban,high
195,Bangalore,Karnataka,13.180613,77.573218,2,0.45,2,1,major,fog,low,urban,low
196,Kolkata,West Bengal,22.48019,88.366839,3,0.45,16,5,minor,rain,low,urban,low
197,Mumbai,Maharashtra,19.05988,72.748749,1,0.3,2,2,major,clear,high,urban,high
198,Chandigarh,Punjab,30.650517,76.789449,1,0.1,0,2,minor,clear,high,urban,low
199,Mumbai,Maharashtra,19.093036,72.876566,0,0.6,9,1,fatal,rain,medium,highway,low
200,Delhi,Delhi,28.596361,77.02673,2,0.45,0,1,minor,fog,low,highway,low
201,Kolkata,West Bengal,22.648231,88.411475,3,0.45,15,3,minor,rain,low,rural,low
202,Chennai,Tamil Nadu,12.894547,80.239536,1,0.1,3,1,minor,clear,high,highway,medium
203,Chandigarh,Punjab,30.706127,76.870146,3,0.8,19,1,major,rain,low,highway,high
204,Chandigarh,Punjab,30.736284,76.88423,3,0.8,18,4,minor,rain,low,urban,high
205,Bangalore,Karnataka,12.884671,77.570809,0,0.4,10,3,minor,rain,medium,urban,low
206,Kolkata,West Bengal,22.641019,88.468147,1,0.3,14,0,minor,clear,high,urban,high
207,Delhi,Delhi,28.497753,76.936211,2,0.65,22,0,minor,fog,low,urban,high
208,Hyderabad,Telangana,17.22001,78.311087,2,0.8,10,2,minor,fog,low,rural,high
209,Pune,Maharashtra,18.533492,73.818053,3,0.65,23,0,major,rain,low,highway,high
210,Bangalore,Karnataka,12.898651,77.518953,1,0.45,18,0,minor,clear,high,urban,high
211,Chennai,Tamil Nadu,12.942775,80.266239,2,0.45,0,2,minor,fog,low,highway,low
212,Mumbai,Maharashtra,18.845526,72.792846,2,0.45,15,0,major,fog,low,urban,low
213,Pune,Maharashtra,18.449045,73.963577,3,0.45,20,1,major,rain,low,rural,low
214,Chennai,Tamil Nadu,12.861288,80.167097,3,0.45,2,5,minor,rain,low,highway,medium
215,Pune,Maharashtra,18.618088,73.989576,2,0.8,8,0,minor,fog,low,urban,high
216,Bangalore,Karnataka,13.09534,77.402311,1,0.1,2,5,major,clear,high,rural,low
217,Delhi,Delhi,28.694773,77.138622,3,0.8,18,1,minor,rain,low,rural,high
218,Chandigarh,Punjab,30.75305,76.886282,2,0.8,17,1,major,fog,low,highway,high
219,Bangalore,Karnataka,12.888723,77.598691,0,0.65,23,1,fatal,rain,medium,highway,high
220,Mumbai,Maharashtra,18.960845,72.922053,1,0.3,21,0,minor,clear,high,rural,high
221,Bangalore,Karnataka,12.966,77.42648,2,0.6,18,1,minor,fog,low,highway,medium
222,Chennai,Tamil Nadu,13.059482,80.132694,2,0.8,19,4,major,fog,low,highway,high
223,Pune,Maharashtra,18.479836,73.980057,2,0.45,23,1,major,fog,low,rural,medium
224,Delhi,Delhi,28.570297,77.25409,2,0.6,10,1,minor,fog,low,highway,medium
225,Mumbai,Maharashtra,19.147537,72.781967,0,0.45,6,4,minor,rain,medium,rural,high
226,Chennai,Tamil Nadu,12.931329,80.177908,0,0.25,22,0,minor,rain,medium,highway,medium
227,Chennai,Tamil Nadu,12.931505,80.204867,3,0.6,18,2,major,rain,low,rural,medium
228,Chennai,Tamil Nadu,12.826312,80.207278,1,0.1,3,1,minor,clear,high,urban,medium
229,Hyderabad,Telangana,17.227437,78.332683,1,0.3,13,1,major,clear,high,rural,high
230,Pune,Maharashtra,18.511753,73.872341,3,0.65,11,1,minor,rain,low,urban,high
231,Bangalore,Karnataka,13.166458,77.645976,2,0.45,0,0,major,fog,low,rural,low
232,Hyderabad,Telangana,17.230262,78.253208,1,0.3,0,1,fatal,clear,high,urban,low
233,Chennai,Tamil Nadu,13.101426,80.265354,3,0.6,9,2,minor,rain,low,urban,medium
234,Chandigarh,Punjab,30.621868,76.767922,2,0.45,14,2,major,fog,low,highway,low
235,Chennai,Tamil Nadu,13.104646,80.294344,2,0.65,7,2,major,fog,low,urban,high
236,Bangalore,Karnataka,13.160679,77.450578,1,0.25,17,4,major,clear,high,urban,medium
237,Kolkata,West Bengal,22.421859,88.374025,1,0.25,9,1,major,clear,high,highway,medium
238,Delhi,Delhi,28.691978,77.169403,2,0.65,21,1,major,fog,low,urban,high
239,Kolkata,West Bengal,22.582986,88.286863,1,0.3,6,1,fatal,clear,high,urban,low
240,Mumbai,Maharashtra,19.000379,72.96346,3,0.8,17,4,minor,rain,low,rural,high
241,Mumbai,Maharashtra,18.844068,72.948507,3,0.65,7,2,major,rain,low,urban,high
242,Chandigarh,Punjab,30.722768,76.846181,2,0.45,4,2,major,fog,low,rural,medium
243,Chandigarh,Punjab,30.726192,76.756446,1,0.25,8,0,minor,clear,high,rural,medium
244,Kolkata,West Bengal,22.542146,88.249395,0,0.45,11,1,minor,rain,medium,rural,high
245,Chennai,Tamil Nadu,12.979934,80.258425,2,0.45,16,2,major,fog,low,rural,medium
246,Kolkata,West Bengal,22.691684,88.380487,2,0.45,15,1,minor,fog,low,highway,medium
247,Pune,Maharashtra,18.554742,73.846455,2,0.65,5,0,minor,fog,low,rural,high
248,Pune,Maharashtra,18.492599,73.918395,3,0.8,8,3,minor,rain,low,urban,high
249,Bangalore,Karnataka,12.87812,77.75548,0,0.45,11,1,minor,rain,medium,highway,high
250,Kolkata,West Bengal,22.628792,88.377574,2,0.65,11,2,minor,fog,low,highway,high
251,Delhi,Delhi,28.42531,76.842778,2,0.45,6,0,minor,fog,low,highway,medium
252,Chennai,Tamil Nadu,13.07404,80.152144,1,0.1,20,1,minor,clear,high,rural,medium
253,Delhi,Delhi,28.403747,76.847221,3,0.45,2,3,major,rain,low,rural,low
254,Mumbai,Maharashtra,19.150088,72.702839,2,0.65,20,0,major,fog,low,highway,high
255,Mumbai,Maharashtra,19.035655,72.955069,1,0.1,6,5,minor,clear,high,highway,low
256,Chennai,Tamil Nadu,12.911957,80.196891,0,0.4,18,1,minor,rain,medium,urban,low
257,Delhi,Delhi,28.472435,77.19605,2,0.65,1,4,minor,fog,low,highway,high
258,Chandigarh,Punjab,30.6107,76.703665,2,0.65,15,5,minor,fog,low,urban,high
259,Delhi,Delhi,28.404569,76.804829,1,0.5,11,3,fatal,clear,high,rural,high
260,Chandigarh,Punjab,30.63764,76.825478,2,0.45,14,3,major,fog,low,rural,low
261,Mumbai,Maharashtra,19.115596,72.802382,1,0.1,7,0,major,clear,high,rural,medium
262,Pune,Maharashtra,18.695595,73.868888,2,0.45,12,4,minor,fog,low,rural,medium
263,Kolkata,West Bengal,22.494643,88.492238,1,0.25,17,2,minor,clear,high,highway,medium
264,Chandigarh,Punjab,30.734981,76.773993,0,0.25,14,1,minor,rain,medium,highway,low
265,Chandigarh,Punjab,30.711487,76.846221,1,0.5,0,4,fatal,clear,high,rural,high
266,Chennai,Tamil Nadu,12.968853,80.196115,2,0.45,1,3,major,fog,low,urban,low
267,Kolkata,West Bengal,22.63079,88.274384,2,0.45,20,2,major,fog,low,highway,medium
268,Chandigarh,Punjab,30.671217,76.878695,2,0.8,17,3,minor,fog,low,rural,high
269,Bangalore,Karnataka,12.933538,77.737824,1,0.25,18,3,minor,clear,high,rural,medium
270,Bangalore,Karnataka,12.934971,77.501295,3,0.65,3,3,fatal,rain,low,urban,low
271,Bangalore,Karnataka,13.088481,77.401871,3,0.65,22,4,fatal,rain,low,highway,medium
272,Chennai,Tamil Nadu,13.032356,80.200645,1,0.1,13,2,minor,clear,high,urban,low
273,Pune,Maharashtra,18.685749,73.854341,2,0.45,21,1,major,fog,low,rural,low
274,Chandigarh,Punjab,30.600709,76.788381,2,0.8,17,2,minor,fog,low,rural,high
275,Chennai,Tamil Nadu,12.865666,80.225481,3,0.45,2,3,minor,rain,low,rural,low
276,Chennai,Tamil Nadu,13.125687,80.288644,2,0.65,14,0,major,fog,low,urban,high
277,Chandigarh,Punjab,30.615981,76.703249,3,0.65,1,3,fatal,rain,low,rural,low
278,Kolkata,West Bengal,22.449438,88.268509,2,0.45,20,3,major,fog,low,highway,medium
279,Bangalore,Karnataka,12.906665,77.751883,2,0.45,5,2,minor,fog,low,highway,low
280,Bangalore,Karnataka,12.854596,77.734873,2,0.6,9,2,minor,fog,low,highway,medium
281,Hyderabad,Telangana,17.453228,78.354267,3,0.8,9,1,major,rain,low,urban,high
282,Chandigarh,Punjab,30.689908,76.86273,3,0.65,11,4,minor,rain,low,urban,high
283,Mumbai,Maharashtra,18.918465,72.813324,2,0.65,2,4,minor,fog,low,urban,high
284,Pune,Maharashtra,18.50586,73.779004,3,0.6,18,1,major,rain,low,highway,medium
285,Pune,Maharashtra,18.432833,73.776399,0,0.45,22,3,minor,rain,medium,highway,high
286,Kolkata,West Bengal,22.542201,88.296251,1,0.3,11,0,major,clear,high,rural,high
287,Delhi,Delhi,28.656319,77.232117,1,0.25,9,1,minor,clear,high,highway,medium
288,Mumbai,Maharashtra,18.87409,72.939462,3,0.45,4,1,major,rain,low,rural,low
289,Pune,Maharashtra,18.460951,73.781916,0,0.25,14,0,minor,rain,medium,highway,medium
290,Mumbai,Maharashtra,19.160639,72.885188,2,0.6,10,2,major,fog,low,highway,low
291,Delhi,Delhi,28.505662,76.960158,2,0.65,11,4,fatal,fog,low,urban,medium
292,Mumbai,Maharashtra,18.803394,72.756475,0,0.45,5,4,fatal,rain,medium,highway,medium
