accident_id,city,accident_severity,actual,prediction,residual
1943,Bangalore,minor,0.6,0.6198,-0.0198
1945,Chandigarh,major,0.8,0.7839,0.0161
1948,Chennai,minor,0.1,0.1582,-0.0582
1951,Delhi,minor,0.65,0.6654,-0.0154
1955,Hyderabad,major,0.8,0.7921,0.0079
1958,Chandigarh,major,0.45,0.5032,-0.0532
1968,Chandigarh,minor,0.45,0.4503,-0.0003
1969,Chennai,major,0.25,0.3092,-0.0592
1978,Bangalore,major,0.1,0.0864,0.0136
1982,Mumbai,minor,0.45,0.4563,-0.0063
1983,Mumbai,fatal,0.8,0.6841,0.1159
1989,Pune,fatal,0.65,0.4432,0.2068
1992,Pune,major,0.1,0.14,-0.04
1996,Pune,major,0.1,0.1314,-0.0314
2005,Bangalore,minor,0.6,0.6072,-0.0072
2006,Pune,major,0.45,0.4692,-0.0192
2034,Delhi,minor,0.6,0.5791,0.0209
2048,Pune,minor,0.6,0.6205,-0.0205
2051,Delhi,minor,0.3,0.3138,-0.0138
2057,Bangalore,minor,0.45,0.4966,-0.0466
2066,Chandigarh,minor,0.45,0.5003,-0.0503
2070,Kolkata,major,0.1,0.0947,0.0053
2072,Delhi,minor,0.45,0.456,-0.006
2073,Mumbai,minor,0.25,0.3884,-0.1384
2078,Kolkata,fatal,1.0,0.8004,0.1996
2081,Chennai,minor,0.65,0.7021,-0.0521
2084,Chandigarh,minor,0.1,0.089,0.011
2091,Chennai,minor,0.1,0.1198,-0.0198
2111,Chennai,minor,0.45,0.5348,-0.0848
2118,Hyderabad,minor,0.25,0.2842,-0.0342
2122,Hyderabad,major,0.65,0.732,-0.082
2124,Chennai,major,0.3,0.323,-0.023
2129,Chandigarh,major,0.1,0.1924,-0.0924
2137,Pune,major,0.45,0.4924,-0.0424
2140,Bangalore,fatal,1.0,0.8125,0.1875
2145,Chandigarh,major,0.65,0.6452,0.0048
2149,Mumbai,major,0.65,0.6864,-0.0364
2158,Kolkata,minor,0.45,0.522,-0.072
2163,Pune,minor,0.25,0.3006,-0.0506
2182,Delhi,major,0.25,0.277,-0.027
2183,Chandigarh,major,0.1,0.098,0.002
2185,Hyderabad,minor,0.1,0.1131,-0.0131
2186,Hyderabad,major,0.1,0.1499,-0.0499
2187,Hyderabad,minor,0.45,0.4592,-0.0092
2192,Chennai,minor,0.25,0.2707,-0.0207
2193,Hyderabad,minor,0.3,0.3404,-0.0404
2211,Mumbai,minor,0.45,0.4347,0.0153
2214,Bangalore,minor,0.25,0.3067,-0.0567
2219,Bangalore,minor,0.3,0.3246,-0.0246
2230,Pune,major,0.1,0.2209,-0.1209
2238,Delhi,minor,0.25,0.3107,-0.0607
2249,Chandigarh,minor,0.1,0.1138,-0.0138
2256,Pune,major,0.45,0.4647,-0.0147
2264,Mumbai,fatal,0.65,0.4544,0.1956
2278,Chandigarh,minor,0.65,0.6572,-0.0072
2282,Bangalore,major,0.8,0.8272,-0.0272
2288,Pune,minor,0.45,0.5421,-0.0921
2294,Pune,minor,0.65,0.6739,-0.0239
2296,Hyderabad,minor,0.1,0.1042,-0.0042
2301,Pune,major,0.45,0.5241,-0.0741
2308,Hyderabad,major,0.3,0.3474,-0.0474
2311,Chandigarh,fatal,0.3,0.1303,0.1697
2318,Bangalore,minor,0.1,0.1539,-0.0539
2321,Pune,fatal,0.3,0.1341,0.1659
2337,Bangalore,minor,0.45,0.4709,-0.0209
2340,Delhi,minor,0.65,0.7191,-0.0691
2343,Kolkata,fatal,0.45,0.233,0.217
2349,Pune,minor,0.3,0.3274,-0.0274
2350,Chandigarh,fatal,0.65,0.4767,0.1733
2355,Bangalore,minor,0.45,0.4371,0.0129
2356,Bangalore,fatal,0.65,0.4701,0.1799
2362,Delhi,major,0.25,0.2621,-0.0121
2366,Kolkata,major,0.6,0.6439,-0.0439
2382,Chennai,fatal,0.5,0.331,0.169
2383,Chandigarh,fatal,0.85,0.6594,0.1906
2384,Delhi,major,0.45,0.469,-0.019
2392,Delhi,major,0.8,0.8697,-0.0697
2393,Delhi,major,0.45,0.4703,-0.0203
2396,Mumbai,major,0.25,0.2469,0.0031
2403,Delhi,minor,0.1,0.1147,-0.0147
2404,Kolkata,major,0.1,0.1208,-0.0208
2407,Hyderabad,minor,0.45,0.4447,0.0053
2411,Kolkata,minor,0.25,0.3026,-0.0526
2412,Kolkata,minor,0.1,0.1072,-0.0072
2413,Delhi,minor,0.8,0.818,-0.018
2415,Kolkata,minor,0.45,0.4961,-0.0461
2416,Chennai,minor,0.8,0.8257,-0.0257
2418,Chennai,fatal,0.65,0.5054,0.1446
2420,Bangalore,minor,0.8,0.8764,-0.0764
2423,Hyderabad,major,0.6,0.6777,-0.0777
2427,Chennai,major,0.45,0.5189,-0.0689
2432,Chennai,minor,0.6,0.6242,-0.0242
2435,Chandigarh,major,0.1,0.1304,-0.0304
2437,Kolkata,major,0.25,0.2255,0.0245
2447,Mumbai,minor,0.25,0.2666,-0.0166
2450,Chandigarh,fatal,0.5,0.3176,0.1824
2457,Kolkata,minor,0.6,0.6473,-0.0473
2458,Kolkata,minor,0.8,0.7954,0.0046
2460,Delhi,minor,0.3,0.4294,-0.1294
2484,Chennai,major,0.45,0.4798,-0.0298
2486,Delhi,minor,0.1,0.1483,-0.0483
2493,Chennai,fatal,1.0,0.8269,0.1731
2494,Kolkata,major,0.45,0.5434,-0.0934
2495,Chennai,minor,0.8,0.8321,-0.0321
2499,Hyderabad,minor,0.65,0.686,-0.036
2502,Hyderabad,minor,0.8,0.8511,-0.0511
2515,Mumbai,minor,0.65,0.7436,-0.0936
2517,Pune,minor,0.25,0.2935,-0.0435
2525,Hyderabad,major,0.6,0.6936,-0.0936
2526,Hyderabad,major,0.1,0.1995,-0.0995
2532,Delhi,major,0.45,0.4488,0.0012
2544,Hyderabad,minor,0.45,0.5494,-0.0994
2553,Delhi,minor,0.1,0.0965,0.0035
2554,Kolkata,minor,0.45,0.5013,-0.0513
2555,Hyderabad,minor,0.8,0.8521,-0.0521
2561,Delhi,major,0.8,0.8272,-0.0272
2564,Hyderabad,major,0.6,0.6037,-0.0037
2572,Pune,minor,0.45,0.4633,-0.0133
2577,Pune,minor,0.65,0.6937,-0.0437
2581,Delhi,minor,0.8,0.7955,0.0045
2584,Kolkata,minor,0.45,0.4708,-0.0208
2585,Chennai,major,0.8,0.8008,-0.0008
2601,Bangalore,fatal,0.65,0.4743,0.1757
2607,Pune,fatal,0.5,0.3657,0.1343
2609,Bangalore,major,0.6,0.6663,-0.0663
2610,Kolkata,minor,0.45,0.4729,-0.0229
2613,Chandigarh,major,0.45,0.573,-0.123
2614,Chennai,fatal,0.8,0.6842,0.1158
2616,Kolkata,minor,0.45,0.4794,-0.0294
2620,Delhi,minor,0.1,0.1038,-0.0038
2627,Chandigarh,minor,0.45,0.4806,-0.0306
2632,Chandigarh,major,0.25,0.2869,-0.0369
2633,Kolkata,major,0.6,0.6303,-0.0303
2639,Bangalore,minor,0.3,0.3437,-0.0437
2640,Pune,minor,0.45,0.5157,-0.0657
2643,Kolkata,minor,0.6,0.6395,-0.0395
2648,Delhi,major,0.6,0.6332,-0.0332
2653,Delhi,major,0.1,0.1556,-0.0556
2654,Chandigarh,minor,0.45,0.4869,-0.0369
2656,Hyderabad,minor,0.65,0.6395,0.0105
2657,Kolkata,fatal,0.3,0.1611,0.1389
2660,Pune,major,0.45,0.5191,-0.0691
2662,Kolkata,minor,0.8,0.8123,-0.0123
2663,Hyderabad,minor,0.25,0.2796,-0.0296
2671,Chandigarh,fatal,0.3,0.1138,0.1862
2674,Chandigarh,minor,0.65,0.6491,0.0009
2675,Chennai,minor,0.45,0.4574,-0.0074
2679,Delhi,major,0.65,0.6828,-0.0328
2681,Bangalore,fatal,0.65,0.4432,0.2068
2685,Kolkata,major,0.1,0.1197,-0.0197
2686,Pune,minor,0.6,0.6785,-0.0785
2691,Chandigarh,minor,0.3,0.2993,0.0007
2706,Mumbai,minor,0.45,0.488,-0.038
2710,Chandigarh,major,0.25,0.3953,-0.1453
2715,Mumbai,minor,0.1,0.1784,-0.0784
2718,Chandigarh,minor,0.4,0.4183,-0.0183
2721,Bangalore,minor,0.25,0.2452,0.0048
2723,Pune,fatal,1.0,0.8483,0.1517
2730,Pune,minor,0.1,0.144,-0.044
2735,Chennai,fatal,0.65,0.456,0.194
2751,Bangalore,minor,0.25,0.2612,-0.0112
2756,Kolkata,minor,0.25,0.2447,0.0053
2766,Hyderabad,minor,0.1,0.1219,-0.0219
2775,Hyderabad,major,0.4,0.4517,-0.0517
2776,Chandigarh,minor,0.25,0.2723,-0.0223
2783,Hyderabad,major,0.45,0.5831,-0.1331
2785,Kolkata,minor,0.45,0.4502,-0.0002
2796,Hyderabad,minor,0.25,0.3326,-0.0826
2801,Chandigarh,major,0.3,0.3049,-0.0049
2802,Mumbai,minor,0.65,0.6288,0.0212
2804,Chandigarh,major,0.1,0.1018,-0.0018
2818,Chennai,major,0.4,0.4507,-0.0507
2824,Hyderabad,major,0.45,0.5023,-0.0523
2829,Hyderabad,minor,0.25,0.2644,-0.0144
2830,Kolkata,major,0.45,0.4445,0.0055
2846,Delhi,major,0.25,0.3725,-0.1225
2854,Chennai,major,0.8,0.8033,-0.0033
2858,Kolkata,major,0.1,0.1256,-0.0256
2859,Mumbai,major,0.8,0.8073,-0.0073
2861,Bangalore,minor,0.65,0.6977,-0.0477
2868,Bangalore,fatal,0.65,0.5839,0.0661
2872,Chandigarh,minor,0.45,0.4484,0.0016
2879,Chandigarh,minor,0.25,0.2227,0.0273
2882,Hyderabad,major,0.25,0.2859,-0.0359
2884,Bangalore,minor,0.45,0.4767,-0.0267
2885,Mumbai,major,0.25,0.2738,-0.0238
2895,Kolkata,fatal,0.65,0.4591,0.1909
2905,Bangalore,minor,0.45,0.536,-0.086
2916,Delhi,minor,0.45,0.4493,0.0007
2922,Bangalore,minor,0.65,0.6472,0.0028
2925,Pune,minor,0.45,0.5274,-0.0774
2944,Pune,minor,0.6,0.6147,-0.0147
2947,Kolkata,minor,0.25,0.2517,-0.0017
2956,Delhi,minor,0.45,0.4672,-0.0172
2960,Pune,minor,0.8,0.8111,-0.0111
2967,Delhi,minor,0.1,0.1574,-0.0574
